date,value
2024-01-01,120
2024-01-02,135
2024-01-03,128
2024-01-04,142
2024-01-05,155
2024-01-06,148
2024-01-07,160
2024-01-08,172
2024-01-09,165
2024-01-10,178
2024-01-11,185
2024-01-12,180
2024-01-13,192
2024-01-14,205
2024-01-15,198
2024-01-16,210
2024-01-17,222
2024-01-18,215
2024-01-19,228
2024-01-20,240
2024-01-21,235
2024-01-22,248
2024-01-23,260
2024-01-24,255
2024-01-25,268
2024-01-26,280
2024-01-27,275
2024-01-28,288
2024-01-29,300
2024-01-30,295
2024-01-31,308
2024-02-01,320
2024-02-02,315
2024-02-03,328
2024-02-04,340
2024-02-05,335
2024-02-06,348
2024-02-07,360
2024-02-08,355
2024-02-09,368
2024-02-10,380
2024-02-11,375
2024-02-12,388
2024-02-13,400
2024-02-14,395
2024-02-15,408
2024-02-16,420
2024-02-17,415
2024-02-18,428
2024-02-19,440
2024-02-20,435
2024-02-21,448
2024-02-22,460
2024-02-23,455
2024-02-24,468
2024-02-25,480
2024-02-26,475
2024-02-27,488
2024-02-28,500
2024-02-29,495
